S No,Development Block LGD Code,Development Block Name (In English),Development Block Name (In Local language),Hierarchy,View Details
1,3456,Balianta,,Khordha(District) / Odisha(State),
2,3457,Balipatna,,Khordha(District) / Odisha(State),
3,3458,Banapur,,Khordha(District) / Odisha(State),
4,3459,Begunia,,Khordha(District) / Odisha(State),
5,3460,Bhubaneswar,,Khordha(District) / Odisha(State),
6,3461,Bolagarh,,Khordha(District) / Odisha(State),
7,3462,Chilika,,Khordha(District) / Odisha(State),
8,3463,Jatni,,Khordha(District) / Odisha(State),
9,3464,Khordha,,Khordha(District) / Odisha(State),
10,3465,Tangi,,Khordha(District) / Odisha(State),
