S No,Development Block LGD Code,Development Block Name (In English),Development Block Name (In Local language),Hierarchy,View Details
1,3487,Badasahi,,Mayurbhanj(District) / Odisha(State),
2,3488,Bahalda,,Mayurbhanj(District) / Odisha(State),
3,3489,Bangriposi,,Mayurbhanj(District) / Odisha(State),
4,3490,Baripada,,Mayurbhanj(District) / Odisha(State),
5,3491,Betnoti,,Mayurbhanj(District) / Odisha(State),
6,3492,Bijatala,,Mayurbhanj(District) / Odisha(State),
7,3493,Bisoi,,Mayurbhanj(District) / Odisha(State),
8,3494,Gopabandhunagar,,Mayurbhanj(District) / Odisha(State),
9,3495,Jamda,,Mayurbhanj(District) / Odisha(State),
10,3496,Joshipur,,Mayurbhanj(District) / Odisha(State),
11,3497,Kaptipada,,Mayurbhanj(District) / Odisha(State),
12,3498,Karanjia,,Mayurbhanj(District) / Odisha(State),
13,3499,Khunta,,Mayurbhanj(District) / Odisha(State),
14,3500,Kuliana,,Mayurbhanj(District) / Odisha(State),
15,3501,Kusumi,,Mayurbhanj(District) / Odisha(State),
16,3502,Morada,,Mayurbhanj(District) / Odisha(State),
17,3503,Rairangpur,,Mayurbhanj(District) / Odisha(State),
18,3504,Raruan,,Mayurbhanj(District) / Odisha(State),
19,3505,Rasgovindpur,,Mayurbhanj(District) / Odisha(State),
20,3506,Samakhunta,,Mayurbhanj(District) / Odisha(State),
21,3507,Saraskana,,Mayurbhanj(District) / Odisha(State),
22,3508,Sukruli,,Mayurbhanj(District) / Odisha(State),
23,3509,Suliapada,,Mayurbhanj(District) / Odisha(State),
24,3510,Thakurmunda,,Mayurbhanj(District) / Odisha(State),
25,3511,Tiring,,Mayurbhanj(District) / Odisha(State),
26,3512,Udala,,Mayurbhanj(District) / Odisha(State),
