S No,District LGD Code,District Name (In English),District Name (In Local language),Hierarchy,Short Name of District,Census 2001 Code,Census2011 Code,Pesa Status,View Details,View History,View Government Order,View Map
1,344,Angul,ଅନୁଗୋଳ,Odisha(State),ANU,15,384,Not Covered,,,,
2,345,Balangir,BALANGIR,Odisha(State),BLN,24,393,Not Covered,,,,
3,346,Balasore,ବାଲେଶ୍ୱର,Odisha(State),BLW,08,377,Not Covered,,,,
4,347,Bargarh,BARGARH,Odisha(State),BRG,01,370,Not Covered,,,,
5,348,Bhadrak,BHADRAK,Odisha(State),BDK,09,378,Not Covered,,,,
6,349,Boudh,BOUDH,Odisha(State),BDH,22,391,Not Covered,,,,
7,350,Cuttack,CUTTACK,Odisha(State),CTT,12,381,Not Covered,,,,
8,351,Deogarh,DEOGARH,Odisha(State),DGR,04,373,Not Covered,,,,
9,352,Dhenkanal,DHENKANAL,Odisha(State),DHK,14,383,Not Covered,,,,
10,353,Gajapati,GAJAPATI,Odisha(State),GJP,20,389,Not Covered,,,,
11,354,Ganjam,GANJAM,Odisha(State),GNJ,19,388,Not Covered,,,,
12,355,Jagatsinghapur,JAGATSINGHAPUR,Odisha(State),JGT,11,380,Not Covered,,,,
13,356,Jajpur,ଯାଜପୁର,Odisha(State),JJP,13,382,Not Covered,,,,
14,357,Jharsuguda,JHARSUGUDA,Odisha(State),JHR,02,371,Not Covered,,,,
15,358,Kalahandi,KALAHANDI,Odisha(State),KLH,26,395,Not Covered,,,,
16,359,Kandhamal,KANDHAMAL,Odisha(State),KNM,21,390,Not Covered,,,,
17,360,Kendrapara,KENDRAPARA,Odisha(State),KND,10,379,Not Covered,,,,
18,361,Keonjhar,Kendujhar,Odisha(State),KNH,06,375,Not Covered,,,,
19,362,Khordha,KHORDHA,Odisha(State),KHD,17,386,Not Covered,,,,
20,363,Koraput,KORAPUT,Odisha(State),KRP,29,398,Partially Covered,,,,
21,364,Malkangiri,MALKANGIRI,Odisha(State),MLK,30,399,Partially Covered,,,,
22,365,Mayurbhanj,MAYURBHANJ,Odisha(State),MYR,07,376,Partially Covered,,,,
23,366,Nabarangpur,NABARANGPUR,Odisha(State),NBR,28,397,Partially Covered,,,,
24,367,Nayagarh,NAYAGARH,Odisha(State),NYG,16,385,Not Covered,,,,
25,368,Nuapada,NUAPADA,Odisha(State),NPD,25,394,Not Covered,,,,
26,369,Puri,PURI,Odisha(State),PUR,18,387,Not Covered,,,,
27,370,Rayagada,RAYAGADA,Odisha(State),RYG,27,396,Partially Covered,,,,
28,371,Sambalpur,SAMBALPUR,Odisha(State),SMB,03,372,Not Covered,,,,
29,372,Sonepur,SONEPUR,Odisha(State),SNE,23,392,Not Covered,,,,
30,373,Sundargarh,SUNDARGARH,Odisha(State),SDG,05,374,Partially Covered,,,,
