S No,Development Block LGD Code,Development Block Name (In English),Development Block Name (In Local language),Hierarchy,View Details
1,3536,Astaranga,,Puri(District) / Odisha(State),
2,3537,Brahmagiri,,Puri(District) / Odisha(State),
3,3538,Delanga,,Puri(District) / Odisha(State),
4,3539,Gop,,Puri(District) / Odisha(State),
5,3540,Kakat Pur,,Puri(District) / Odisha(State),
6,3541,Kanas,,Puri(District) / Odisha(State),
7,3542,Krushnaprasad,,Puri(District) / Odisha(State),
8,3543,Nimapada,,Puri(District) / Odisha(State),
9,3544,Pipili,,Puri(District) / Odisha(State),
10,3545,Sadar,,Puri(District) / Odisha(State),
11,3546,Satyabadi,,Puri(District) / Odisha(State),
